Codice ISTAT;Denominazione IT
100;Italia
201;Albania
202;Andorra
203;Austria
206;Belgio
209;Bulgaria
212;Danimarca
214;Finlandia
215;Francia
216;Germania
219;Regno Unito
220;Grecia
221;Irlanda
223;Islanda
225;Liechtenstein
226;Lussemburgo
227;Malta
229;Monaco
231;Norvegia
232;Paesi Bassi
233;Polonia
234;Portogallo
235;Romania
236;San Marino
239;Spagna
240;Svezia
241;Svizzera
243;Ucraina
244;Ungheria
245;Federazione russa
246;Stato della Città del Vaticano
247;Estonia
248;Lettonia
249;Lituania
250;Croazia
251;Slovenia
252;Bosnia-Erzegovina
253;Macedonia del Nord
254;Moldova
255;Slovacchia
256;Bielorussia
257;Repubblica ceca
270;Montenegro
271;Serbia
272;Kosovo
301;Afghanistan
302;Arabia Saudita
304;Bahrein
305;Bangladesh
306;Bhutan
307;Myanmar/Birmania
309;Brunei Darussalam
310;Cambogia
311;Sri Lanka
314;Cina
315;Cipro
319;Corea del Nord
320;Corea del Sud
322;Emirati Arabi Uniti
323;Filippine
324;Palestina
326;Giappone
327;Giordania
330;India
331;Indonesia
332;Iran
333;Iraq
334;Israele
335;Kuwait
336;Laos
337;Libano
338;Timor Leste
339;Maldive
340;Malaysia
341;Mongolia
342;Nepal
343;Oman
344;Pakistan
345;Qatar
346;Singapore
348;Siria
349;Thailandia
351;Turchia
353;Vietnam
354;Yemen
356;Kazakhstan
357;Uzbekistan
358;Armenia
359;Azerbaigian
360;Georgia
361;Kirghizistan
362;Tagikistan
363;Taiwan
364;Turkmenistan
401;Algeria
402;Angola
404;Costa d'Avorio
406;Benin
408;Botswana
409;Burkina Faso
410;Burundi
411;Camerun
413;Capo Verde
414;Repubblica Centrafricana
415;Ciad
417;Comore
418;Congo
419;Egitto
420;Etiopia
421;Gabon
422;Gambia
423;Ghana
424;Gibuti
425;Guinea
426;Guinea-Bissau
427;Guinea equatoriale
428;Kenya
429;Lesotho
430;Liberia
431;Libia
432;Madagascar
434;Malawi
435;Mali
436;Marocco
437;Mauritania
438;Maurizio
440;Mozambico
441;Namibia
442;Niger
443;Nigeria
446;Ruanda
448;Sao Tomé e Principe
449;Seychelles
450;Senegal
451;Sierra Leone
453;Somalia
454;Sudafrica
455;Sudan
456;Eswatini
457;Tanzania
458;Togo
460;Tunisia
461;Uganda
463;Repubblica Democratica del Congo
464;Zambia
465;Zimbabwe
466;Eritrea
467;Sud Sudan
503;Antigua e Barbuda
505;Bahamas
506;Barbados
507;Belize
509;Canada
513;Costa Rica
514;Cuba
515;Dominica
516;Repubblica Dominicana
517;El Salvador
518;Giamaica
519;Grenada
523;Guatemala
524;Haiti
525;Honduras
527;Messico
529;Nicaragua
530;Panama
532;Santa Lucia
533;Saint Vincent e Grenadine
534;Saint Kitts e Nevis
536;Stati Uniti d'America
602;Argentina
604;Bolivia
605;Brasile
606;Cile
608;Colombia
609;Ecuador
612;Guyana
614;Paraguay
615;Perù
616;Suriname
617;Trinidad e Tobago
618;Uruguay
619;Venezuela
701;Australia
703;Figi
708;Kiribati
712;Isole Marshall
713;Stati Federati di Micronesia
715;Nauru
719;Nuova Zelanda
720;Palau
721;Papua Nuova Guinea
725;Isole Salomone
727;Samoa
730;Tonga
731;Tuvalu
732;Vanuatu
902;Nuova Caledonia
904;Saint-Martin (FR)
905;Sahara occidentale
906;Saint-Barthélemy
908;Bermuda
909;Isole Cook (NZ)
910;Gibilterra
911;Isole Cayman
917;Anguilla
920;Polinesia francese
924;Isole Fær Øer
925;Jersey
926;Aruba
928;Sint Maarten (NL)
934;Groenlandia
939;Sark
940;Guernsey
958;Isole Falkland (Malvine)
959;Isola di Man
964;Montserrat
966;Curaçao
972;Isole Pitcairn
980;Saint Pierre e Miquelon
983;Sant'Elena
988;Terre australi e antartiche francesi
992;Isole Turks e Caicos
994;Isole Vergini britanniche
997;Wallis e Futuna
